Job Position,Link
SERENGETI d.o.o. za usluge i trgovinu,Java Developer (m/f),https://www.moj-posao.net/Posao/696576/Java-Developer-mf/
SERENGETI d.o.o. za usluge i trgovinu,Java Developer (m/f),https://www.moj-posao.net/Posao/696575/Java-Developer-mf/
SERENGETI d.o.o. za usluge i trgovinu,Software Tester (m/f),https://www.moj-posao.net/Posao/696574/Software-Tester-mf/
Croatia banka d.d.,Suradnik za podršku korisnicima (m/ž),https://www.moj-posao.net/Posao/695961/Suradnik-za-podrsku-korisnicima-mz/
Croatia banka d.d.,Voditelj Tima poslovna podrška i razvoj (m/ž),https://www.moj-posao.net/Posao/695962/Voditelj-Tima-poslovna-podrska-i-razvoj-mz/
Croatia banka d.d.,Programer (m/ž),https://www.moj-posao.net/Posao/695963/Programer-mz/
STRABAG BRVZ d.o.o.,Senior Frontend Developer (m/f/d),https://www.moj-posao.net/Posao/694767/Senior-Frontend-Developer-mfd/
STRABAG BRVZ d.o.o.,(Senior) Backend Developer (m/f/d),https://www.moj-posao.net/Posao/694768/Senior-Backend-Developer-mfd/
STRABAG BRVZ d.o.o.,Senior Java Developer (m/f/d),https://www.moj-posao.net/Posao/694766/Senior-Java-Developer-mfd/
STRABAG BRVZ d.o.o.,Junior Java / ERP Developer (m/f/d),https://www.moj-posao.net/Posao/694765/Junior-Java-ERP-Developer-mfd/
EPAM Systems,C/C++ Developer (m/f),https://www.moj-posao.net/Posao/693971/CC-Developer-mf/
EPAM Systems,.NET Developer,https://www.moj-posao.net/Posao/693972/NET-Developer/
EPAM Systems,Senior Java Developer (m/f),https://www.moj-posao.net/Posao/693973/Senior-Java-Developer-mf/
IBM iX,Data Architect (f/m/x),https://www.moj-posao.net/Posao/676050/Data-Architect-fmx/
IBM iX,Data Engineer (f/m/x),https://www.moj-posao.net/Posao/676049/Data-Engineer-fmx/
